Check,ScheduleName,ClientId,Detail
Identical duplicate day rows inside one schedule,Hamilton > BOP,9196,"5 redundant row(s); ids 7457, 7458, 7459, 7460, 7461, 7532, 7533, 7534, 7535, 7536"
Identical duplicate day rows inside one schedule,Waikato Local & Outer > BOP,9196,"10 redundant row(s); ids 7462, 7463, 7464, 7465, 7466, 7597, 7598, 7599, 7600, 7601, 7602, 7603, 7604, 7605, 7606"
Identical duplicate day rows inside one schedule,Tauranga > Auckland Express Run,9196,"5 redundant row(s); ids 7467, 7468, 7469, 7470, 7471, 7562, 7563, 7564, 7565, 7566"
Identical duplicate day rows inside one schedule,Tauranga > Auckland Express Run 4pm-6pm,9196,"5 redundant row(s); ids 7472, 7473, 7474, 7475, 7476, 7567, 7568, 7569, 7570, 7571"
Identical duplicate day rows inside one schedule,Tauranga > Auckland Run,9196,"5 redundant row(s); ids 7477, 7478, 7479, 7480, 7481, 7572, 7573, 7574, 7575, 7576"
Identical duplicate day rows inside one schedule,Tauranga > Auckland Run 6pm-9pm,9196,"5 redundant row(s); ids 7482, 7483, 7484, 7485, 7486, 7577, 7578, 7579, 7580, 7581"
Identical duplicate day rows inside one schedule,Tauranga > Waikato Afternoon Run,9196,"5 redundant row(s); ids 7487, 7488, 7489, 7490, 7491, 7582, 7583, 7584, 7585, 7586"
Identical duplicate day rows inside one schedule,Tauranga > Waikato Morning Run,9196,"5 redundant row(s); ids 7492, 7493, 7494, 7495, 7496, 7587, 7588, 7589, 7590, 7591"
Multiple differing rows for the same DayOfWeek,CupFull AKL > Waikato Home Delivery 11am,36488,"days 1x2, 2x2, 3x2, 4x2, 5x2"
Multiple differing rows for the same DayOfWeek,WRG > AKL Regional Run,36266,"days 1x2, 2x2, 3x2, 4x2, 5x2"
Identical duplicate day rows inside one schedule,AKL > Pukekohe Overnight Medical Run,36820,"5 redundant row(s); ids 8745, 8746, 8747, 8748, 8749, 8760, 8761, 8762, 8763, 8764"
Identical duplicate day rows inside one schedule,Pukekohe > AKL Run,36820,"4 redundant row(s); ids 8750, 8751, 8752, 8753, 8754, 8765, 8766, 8767, 8768, 8769"
Multiple differing rows for the same DayOfWeek,Waikato Outer - Taupo,36813,"days 1x2, 3x2, 5x2"
Identical duplicate day rows inside one schedule,AKL > Palmerston North pre 8am,18185,"5 redundant row(s); ids 9263, 9264, 9265, 9266, 9267, 9288, 9289, 9290, 9291, 9292"
Identical duplicate day rows inside one schedule,AKL > New Plymouth pre 10am,3191,"4 redundant row(s); ids 9529, 9530, 9531, 9532, 9533, 9534, 9535, 9536, 9537, 9538"
Identical duplicate day rows inside one schedule,AKL > Whanganui Pre 10am,3191,"4 redundant row(s); ids 9544, 9545, 9546, 9547, 9548, 9641, 9642, 9643, 9644, 9645"
Identical duplicate day rows inside one schedule,AKL > Whanganui Pre 10am,14927,"4 redundant row(s); ids 9646, 9647, 9648, 9649, 9650, 9662, 9663, 9664, 9665, 9666"
Multiple differing rows for the same DayOfWeek,AKL > Whanganui Pre 10am,32946,"days 1x2, 2x2, 3x2, 4x2, 5x2"
Multiple differing rows for the same DayOfWeek,AKL > HLZ Afternoon Medical Run 930am Collection,32946,"days 1x2, 2x2, 3x2, 4x2, 5x2"
Identical duplicate day rows inside one schedule,DevTe Whanganui > Akl Returns,9477,"5 redundant row(s); ids 10608, 10609, 10610, 10611, 10612, 10723, 10724, 10725, 10726, 10727"
Multiple differing rows for the same DayOfWeek,AKL > Palmerston North pre 10am,35755,"days 1x2, 2x2, 3x2, 4x2, 5x2"
Multiple differing rows for the same DayOfWeek,AKL > Napier pre 10am,36739,"days 1x2, 2x2, 3x2, 4x2, 5x2"
Multiple differing rows for the same DayOfWeek,CNT - Hamilton Morning Chilled - 7am,37010,"days 1x2, 2x2, 3x2, 4x2, 5x2"
Multiple differing rows for the same DayOfWeek,CNT - BOP Home Delivery 5am,37010,"days 1x3, 2x3, 3x3, 4x3, 5x3"
Multiple differing rows for the same DayOfWeek,CNT - WRE Home Delivery 5am,37010,days 5x2
Multiple differing rows for the same DayOfWeek,IGNORE,33047,"days 1x4, 2x4, 3x4, 4x3, 5x4"
Identical duplicate day rows inside one schedule,Hamilton - Waikato Morning,31458,"5 redundant row(s); ids 11951, 11952, 11953, 11954, 11955, 12183, 12184, 12185, 12186, 12187"
Identical duplicate day rows inside one schedule,Hamilton - Waikato Morning,31944,"5 redundant row(s); ids 11982, 11983, 11984, 11985, 11986, 11987, 11988, 11989, 11990, 11991"
Multiple differing rows for the same DayOfWeek,Nutrifare Whangarei Regional Home Delivery 5am,17106,"days 1x2, 2x2, 3x2, 4x2, 5x2"
Client schedule shares its name with a default schedule,Auckland > Tauranga Regional Run 9-5 Express,33014,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Auckland > Tauranga Run 3-6:30pm,33014,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Auckland > Tauranga Run Express 4-6:30,33014,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Napier Afternoons AH,16298,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Wellington Afternoons AH,16298,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Auckland - Waikato Home Delivery 11am,16298,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,BOP Regional Home Delivery 11am,16298,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,BOP Regional Home Delivery 5am,16298,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Auckland - Waikato Home Delivery 5am,16298,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,WRE Regional Home Delivery 5am,17827,distinct ScheduleId; consider a clearer name
Client schedule identical to the default schedule of the same name,Hamilton > Tauranga afternoon,31796,client is linked to the default and its copy retired
Client schedule shares its name with a default schedule,Auckland - Tauranga Chilled,36249,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Auckland - Tauranga Chilled,9225,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Hamilton Local Chilled,36459,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Wellington Afternoons AH,36266,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Auckland - Waikato Home Delivery 11am,32929,distinct ScheduleId; consider a clearer name
Client schedule identical to the default schedule of the same name,Hamilton > Auckland Express 11am-1pm,9196,client is linked to the default and its copy retired
Client schedule identical to the default schedule of the same name,Hamilton > Auckland Express 4pm-6pm,9196,client is linked to the default and its copy retired
Client schedule identical to the default schedule of the same name,Hamilton > Tauranga afternoon,9196,client is linked to the default and its copy retired
Client schedule identical to the default schedule of the same name,Waikato > Tauranga afternoon,9196,client is linked to the default and its copy retired
Client schedule identical to the default schedule of the same name,BOP > Waikato Morning Run,9196,client is linked to the default and its copy retired
Client schedule identical to the default schedule of the same name,BOP Outer > Auckland Express Run 11-1,9196,client is linked to the default and its copy retired
Client schedule shares its name with a default schedule,BOP Outer > Auckland Express Run 4-6,9196,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,BOP Regional Home Delivery 11am,9196,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,BOP Regional Home Delivery 5am,9196,distinct ScheduleId; consider a clearer name
Client schedule identical to the default schedule of the same name,Hamilton > BOP,9196,client is linked to the default and its copy retired
Client schedule identical to the default schedule of the same name,Waikato Local & Outer > BOP,9196,client is linked to the default and its copy retired
Client schedule shares its name with a default schedule,Tauranga > Auckland Express Run,9196,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Tauranga > Auckland Express Run 4pm-6pm,9196,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Tauranga > Waikato Afternoon Run,9196,distinct ScheduleId; consider a clearer name
Client schedule identical to the default schedule of the same name,Tauranga > Waikato Morning Run,9196,client is linked to the default and its copy retired
Client schedule shares its name with a default schedule,Auckland Afternoon Chilled,9673,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Auckland - Waikato Home Delivery 11am,13681,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,WRG > AKL Regional Run,36266,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Auckland > Waikato Afternoon Express,36813,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Auckland > Waikato Morning Express,36813,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Auckland > Waikato Morning Delivery,36813,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Auckland > Tauranga Regional Run 9-5 Express,36813,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Auckland > Tauranga Run Express 4-6:30,36813,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Auckland > Tauranga Run 3-6:30pm,36813,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,AKL > WRG Regional Run,36813,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,AKL > WRG Regional Run Express,36813,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,BOP > Waikato Morning Run,36813,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Tauranga > Waikato Afternoon Run,36813,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Tauranga > Waikato Morning Run,36813,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Hamilton Local Chilled,36813,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Auckland - Wellington Chilled,4609,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Hamilton > Auckland Express 11am-1pm,36813,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Hamilton > Auckland Express 4pm-6pm,36813,distinct ScheduleId; consider a clearer name
Client schedule shares its name with a default schedule,Waikato Local > Auckland Express 4pm-6pm,36813,distinct ScheduleId; consider a clearer name
