SurvivorBulkRunScheduleId,ClientId,ScheduleName
4309,14927,AKL > Pukekohe Overnight Medical Run
4309,13713,AKL > Pukekohe Overnight Medical Run
4309,16947,AKL > Pukekohe Overnight Medical Run
4309,36820,AKL > Pukekohe Overnight Medical Run
4309,18185,AKL > Pukekohe Overnight Medical Run
4309,14578,AKL > Pukekohe Overnight Medical Run
4309,3191,AKL > Pukekohe Overnight Medical Run
4309,169,AKL > Pukekohe Overnight Medical Run
4309,32946,AKL > Pukekohe Overnight Medical Run
4309,14821,AKL > Pukekohe Overnight Medical Run
4309,9477,AKL > Pukekohe Overnight Medical Run
4309,35755,AKL > Pukekohe Overnight Medical Run
4309,18188,AKL > Pukekohe Overnight Medical Run
4309,36739,AKL > Pukekohe Overnight Medical Run
4309,14582,AKL > Pukekohe Overnight Medical Run
4309,13773,AKL > Pukekohe Overnight Medical Run
2741,33103,AKL > ROT Afternoon Medical Run
2741,504,AKL > ROT Afternoon Medical Run
2741,13822,AKL > ROT Afternoon Medical Run
2526,9477,AKL > ROT Pre 10am Medical Run
2526,14582,AKL > ROT Pre 10am Medical Run
2526,16947,AKL > ROT Pre 10am Medical Run
2526,18188,AKL > ROT Pre 10am Medical Run
2526,13713,AKL > ROT Pre 10am Medical Run
2526,18185,AKL > ROT Pre 10am Medical Run
2641,35755,AKL > ROT Pre 10am Medical Run
2641,14578,AKL > ROT Pre 10am Medical Run
2641,169,AKL > ROT Pre 10am Medical Run
2337,14927,AKL > ROT Pre 10am Medical Run
2337,32946,AKL > ROT Pre 10am Medical Run
2746,33103,AKL > ROT Pre 8am Medical Run*09:00:00-10:00:00
2746,504,AKL > ROT Pre 8am Medical Run*09:00:00-10:00:00
2746,17122,AKL > ROT Pre 8am Medical Run*09:00:00-10:00:00
2746,13822,AKL > ROT Pre 8am Medical Run*09:00:00-10:00:00
10315,32946,AKL > Taupo Pre 8am Medical Run
10315,14821,AKL > Taupo Pre 8am Medical Run
2716,13713,AKL > TGA Afternoon Medical Run
2716,169,AKL > TGA Afternoon Medical Run
2716,16513,AKL > TGA Afternoon Medical Run
2716,36672,AKL > TGA Afternoon Medical Run
2621,16947,AKL > TGA Afternoon Medical Run*15:00:00-17:00:00
2621,18188,AKL > TGA Afternoon Medical Run*15:00:00-17:00:00
2621,33103,AKL > TGA Afternoon Medical Run*15:00:00-17:00:00
2621,504,AKL > TGA Afternoon Medical Run*15:00:00-17:00:00
2621,13822,AKL > TGA Afternoon Medical Run*15:00:00-17:00:00
2621,36739,AKL > TGA Afternoon Medical Run*15:00:00-17:00:00
2883,17122,AKL > TGA Afternoon Medical Run*15:00:00-17:00:00
2883,18185,AKL > TGA Afternoon Medical Run*15:00:00-17:00:00
2611,16947,AKL > TGA Pre 930am Medical Run
2611,18188,AKL > TGA Pre 930am Medical Run
2611,33103,AKL > TGA Pre 930am Medical Run
2611,504,AKL > TGA Pre 930am Medical Run
2611,17122,AKL > TGA Pre 930am Medical Run
2611,13822,AKL > TGA Pre 930am Medical Run
2611,36739,AKL > TGA Pre 930am Medical Run
2651,16513,AKL > TGA Pre 930am Medical Run
2651,35755,AKL > TGA Pre 930am Medical Run
2651,169,AKL > TGA Pre 930am Medical Run
2651,36672,AKL > TGA Pre 930am Medical Run
2327,14927,AKL > TGA Pre 930am Medical Run
2327,13713,AKL > TGA Pre 930am Medical Run
2536,9477,AKL > TGA Pre 930am Medical Run
2536,18185,AKL > TGA Pre 930am Medical Run
11425,14582,AKL > Whakatane Medical Run
11425,14927,AKL > Whakatane Medical Run
9621,1088,AKL > Whanganui Pre 10am
9621,18185,AKL > Whanganui Pre 10am
9621,14578,AKL > Whanganui Pre 10am
9621,169,AKL > Whanganui Pre 10am
9621,16947,AKL > Whanganui Pre 10am
9621,13713,AKL > Whanganui Pre 10am
9621,9477,AKL > Whanganui Pre 10am
9621,35755,AKL > Whanganui Pre 10am
9621,18188,AKL > Whanganui Pre 10am
9621,36739,AKL > Whanganui Pre 10am
9621,14582,AKL > Whanganui Pre 10am
9544,3191,AKL > Whanganui Pre 10am
9544,14927,AKL > Whanganui Pre 10am
9544,32946,AKL > Whanganui Pre 10am
7067,14927,AKL > WLG Pre 10am
7067,18185,AKL > WLG Pre 10am
7067,14578,AKL > WLG Pre 10am
7067,169,AKL > WLG Pre 10am
7067,3191,AKL > WLG Pre 10am
7067,16947,AKL > WLG Pre 10am
7067,32946,AKL > WLG Pre 10am
7067,9477,AKL > WLG Pre 10am
7067,35755,AKL > WLG Pre 10am
7067,18188,AKL > WLG Pre 10am
7067,36739,AKL > WLG Pre 10am
7067,14582,AKL > WLG Pre 10am
9080,14763,AKL > WLG Pre 10am
9080,16513,AKL > WLG Pre 10am
9278,18185,AKL > WLG Pre 8am
9278,14578,AKL > WLG Pre 8am
9278,169,AKL > WLG Pre 8am
9278,3191,AKL > WLG Pre 8am
9278,16947,AKL > WLG Pre 8am
9278,32946,AKL > WLG Pre 8am
